Mês;Renner: (Brasil);Riachuelo: (Brasil);Marisa: (Brasil);C&A: (Brasil);Shein: (Brasil)
2015-01;33;18;26;8;1
2015-02;34;19;26;8;1
2015-03;37;22;33;10;1
2015-04;38;20;29;9;1
2015-05;45;23;34;13;1
2015-06;39;22;30;10;1
2015-07;37;20;34;11;1
2015-08;39;20;29;12;1
2015-09;36;21;28;11;1
2015-10;37;21;31;12;1
2015-11;42;26;37;16;1
2015-12;45;25;37;15;1
2016-01;33;17;27;9;1
2016-02;33;16;23;8;1
2016-03;34;19;25;10;1
2016-04;34;20;26;10;1
2016-05;42;21;30;14;1
2016-06;41;21;31;11;1
2016-07;35;19;23;10;1
2016-08;34;17;22;9;1
2016-09;37;17;23;9;1
2016-10;35;17;22;9;1
2016-11;45;22;29;13;1
2016-12;45;21;32;14;1
2017-01;35;17;39;10;1
2017-02;34;17;65;9;1
2017-03;38;19;23;9;1
2017-04;41;19;22;8;1
2017-05;42;26;28;10;1
2017-06;44;24;22;8;1
2017-07;40;26;24;9;1
2017-08;39;25;22;8;1
2017-09;37;24;21;8;1
2017-10;39;26;21;9;1
2017-11;48;30;25;10;1
2017-12;50;31;25;12;1
2018-01;41;26;21;9;1
2018-02;39;25;18;7;1
2018-03;38;27;18;8;1
2018-04;41;30;22;8;1
2018-05;46;32;20;9;1
2018-06;44;30;21;9;1
2018-07;41;29;23;8;1
2018-08;42;30;19;7;1
2018-09;43;29;19;7;2
2018-10;42;29;18;7;2
2018-11;53;36;21;9;3
2018-12;59;36;23;12;2
2019-01;43;29;18;7;4
2019-02;42;28;17;7;3
2019-03;43;28;19;7;1
2019-04;45;29;19;7;1
2019-05;47;32;21;7;1
2019-06;47;32;23;8;1
2019-07;47;34;25;8;1
2019-08;46;29;20;7;1
2019-09;45;32;20;8;1
2019-10;45;32;20;8;1
2019-11;49;37;24;9;1
2019-12;57;37;24;11;1
2020-01;41;31;20;7;2
2020-02;41;28;19;7;2
2020-03;38;27;18;7;3
2020-04;48;37;27;10;2
2020-05;56;53;29;13;1
2020-06;55;47;26;12;3
2020-07;54;43;28;13;5
2020-08;53;36;26;10;7
2020-09;46;32;21;9;12
2020-10;43;29;20;9;17
2020-11;51;35;22;10;24
2020-12;52;36;22;12;24
2021-01;39;28;17;7;25
2021-02;36;26;15;7;22
2021-03;38;28;15;7;22
2021-04;39;34;17;9;29
2021-05;43;30;17;10;25
2021-06;42;31;16;9;27
2021-07;42;30;18;8;28
2021-08;48;25;15;7;29
2021-09;36;25;15;7;33
2021-10;36;25;15;7;32
2021-11;44;26;17;9;32
2021-12;51;29;19;11;30
2022-01;38;22;15;8;41
2022-02;35;21;14;8;42
2022-03;39;21;13;7;46
2022-04;38;22;14;7;50
2022-05;45;24;16;8;57
2022-06;42;21;13;7;55
2022-07;38;20;15;5;58
2022-08;37;19;13;5;64
2022-09;33;18;11;5;61
2022-10;32;18;11;5;64
2022-11;40;21;14;6;91
2022-12;48;25;15;7;76
2023-01;100;19;15;5;78
