;Volvo;Scania;Mercedes;Volkswagen
01/07/2021;498477;577745;601746;393410,5
01/08/2021;505954;630699;610772;405614
01/09/2021;518955;648988;670459;429201,5
01/10/2021;520771;651259;685155;430703
01/11/2021;538966;653538;698405;434572,5
01/12/2021;540852;655825;700849;444997
01/01/2022;556859;658120;703301,5;456355
01/02/2022;572895;663384;708927,5;461372
01/03/2022;577478;678845;710392,5;466483,5
01/04/2022;591955;691391;716075,5;470214,5
01/05/2022;607876,5;693973;721804;482633,5
01/06/2022;632188,5;712383,5;707292;478183,5
01/07/2022;636669;697461;692476;468449,5
01/08/2022;632848,5;707756,5;671038;465638
01/09/2022;637930,5;693389;661500;465311,5
01/10/2022;636973,5;692348,5;660507,5;464613
01/11/2022;640818,5;691101,5;643852;463776
01/12/2022;640461;688766,5;642692,5;454470,5
01/01/2023;648354,5;685491,5;651777,5;452425
