;Volvo;Scania;Mercedes;Volkswagen
01/07/2021;595393;626733;729366;529570
01/08/2021;616859;641215;734581;541062
01/09/2021;630255;687594;791144;572444
01/10/2021;652120;682323;794500;591156
01/11/2021;667844;699444;796247;585148
01/12/2021;659666;704695;796960;611613
01/01/2022;688155;709659;805128;624643
01/02/2022;725466;722129;805844;629017
01/03/2022;751595;716122;805844;640350
01/04/2022;724436;725884;854100;629115
01/05/2022;786275;742171;867600;703300
01/06/2022;840544;752753;867773;695162
01/07/2022;861455;778874;856800;691990
01/08/2022;860579;806422;874457;685866
01/09/2022;868495;810307;876816;685454
01/10/2022;868025;818410;876700;707000
01/11/2022;880122;839043;857100;706455
01/12/2022;885700;896471;841016;729166
01/01/2023;894971;886085;859016;729166
