Code;Data;Empresa;Membro;Ativo;Qnt. Inicial;Qnt. Final;Saldo
22691;jul/22;CIA LOCAÇÃO DAS AMÉRICAS;Controlador;Ações;81.871.019;618.622.355;536.751.336
21555;jul/22;UNIDAS S.A.;Controlador;Ações;151.075.506;193.858.455;42.782.949
19739;jul/22;LOCALIZA RENT A CAR S.A.;Conselho Administração;Ações;42.266.507;83.483.837;41.217.330
23582;jul/22;ECO101 CONCESSIONÁRIA DE RODOVIAS S.A.;Controlador;Ações;1.038.500.100;1.064.500.100;26.000.000
23248;jul/22;ANIMA HOLDING S.A.;Controlador;Ações;108.604.783;120.412.368;11.807.585
2453;jul/22;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Conselho Administração;Ações;221.307.292;233.037.792;11.730.500
5258;jul/22;RAIA DROGASIL S.A.;Controlador;Ações;439.341.323;450.363.206;11.021.883
80020;jul/22;GP INVESTMENTS, LTD.;Conselho Administração;Ações;29.170.171;34.424.288;5.254.117
1325;jul/22;BCO MERCANTIL DO BRASIL S.A.;Conselho Administração;Ações;3.556.200;8.580.400;5.024.200
80195;jul/22;GP INVESTMENTS, LTD.;Conselho Administração;Ações;27.232.300;32.137.368;4.905.068
26123;jul/22;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;Direto;Ações;894.805;4.317.884;3.423.079
26441;jul/22;OMEGA ENERGIA S.A.;Controlador;Derivativos;8.348.500;11.631.800;3.283.300
21199;jul/22;BCO PAN S.A.;Controlador;Ações;281.819.494;283.966.094;2.146.600
25437;jul/22;MRV ENGENHARIA E PARTICIPACOES S.A.;Conselho Administração;Ações;178.433.167;180.357.178;1.924.011
20915;jul/22;MRV ENGENHARIA E PARTICIPACOES S.A.;Controlador;Ações;176.014.033;177.893.922;1.879.889
26123;jul/22;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;Conselho Administração;Ações;17.440.755;19.025.104;1.584.349
1325;jul/22;BCO MERCANTIL DO BRASIL S.A.;Conselho Administração;Ações;85.400;1.606.900;1.521.500
2453;jul/22;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Conselho Administração;Ações;120.475.130;121.975.130;1.500.000
80209;jul/22;NU HOLDINGS LTD.;Direto;Ações;133.925.116;135.233.184;1.308.068
25046;jul/22;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;Controlador;Ações;29.750.337;30.845.137;1.094.800
19348;jul/22;ITAU UNIBANCO HOLDING S.A.;Conselho Fiscal;Ações;1.852.820;2.880.599;1.027.779
25917;jul/22;RAÍZEN S.A.;Direto;Ações;322.518;1.202.721;880.203
21237;jul/22;ENEVA S.A;Direto;Ações;4.102.699;4.930.425;827.726
10456;jul/22;ITAÚSA S.A.;Conselho Administração;Ações;234.965.781;235.766.781;801.000
22519;jul/22;TECHNOS S.A.;Conselho Administração;Ações;30.361.944;31.127.444;765.500
19453;jul/22;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Direto;Ações;1;700.001;700.000
24821;jul/22;Rede D?Or São Luiz S.A.;Controlador;Ações;1.015.619.201;1.016.240.001;620.800
24910;jul/22;LOCAWEB SERVIÇOS DE INTERNET S.A.;Conselho Administração;Ações;3.747.420;4.307.420;560.000
25011;jul/22;Grupo de Moda Soma S.A.;Controlador;Ações;289.728.618;290.231.041;502.423
80020;jul/22;GP INVESTMENTS, LTD.;Conselho Administração;Ações;2.809.152;3.263.433;454.281
20567;jul/22;BCO PINE S.A;Controlador;Ações;21.850.935;22.300.722;449.787
25372;jul/22;SENDAS DISTRIBUIDORA S.A.;Conselho Administração;Ações;4.306.425;4.733.583;427.158
25372;jul/22;SENDAS DISTRIBUIDORA S.A.;Direto;Ações;1.187.815;1.538.654;350.839
25879;jul/22;Kora Saúde Participações S.A.;Conselho Administração;Ações;85.863.317;86.198.061;334.744
24694;jul/22;Grupo SBF S.A.;Direto;Ações;1.774.542;2.085.937;311.395
20605;jul/22;JHSF PARTICIPACOES S.A.;Direto;Ações;3.073.893;3.384.684;310.791
25070;jul/22;Plano & Plano Desenvolvimento Imobiliário S.A.;Controlador;Ações;142.944.009;143.234.709;290.700
26034;jul/22;MULTILASER INDUSTRIAL S.A.;Direto;Ações;31.563.120;31.819.200;256.080
80195;jul/22;GP INVESTMENTS, LTD.;Conselho Administração;Ações;1.974.216;2.219.458;245.242
12653;jul/22;KLABIN S.A.;Direto;Ações;6.064.056;6.287.856;223.800
21733;jul/22;CIELO S.A.;Direto;Ações;2.775.003;2.993.402;218.399
26050;jul/22;Unifique Telecomunicações S.A.;Controlador;Ações;261.827.640;262.014.440;186.800
24929;jul/22;TIM S.A.;Direto;Ações;429.822;601.145;171.323
11975;jul/22;AZEVEDO E TRAVASSOS S.A.;Conselho Administração;Ações;2.058.482;2.227.382;168.900
23248;jul/22;ANIMA HOLDING S.A.;Direto;Ações;324.434;492.219;167.785
19348;jul/22;ITAÚSA S.A.;Conselho Fiscal;Ações;206.050;356.050;150.000
19739;jul/22;LOCALIZA RENT A CAR S.A.;Direto;Ações;291.070;435.343;144.273
12653;jul/22;KLABIN S.A.;Controlador;Ações;370.734.223;370.876.623;142.400
