Code,Data,Empresa,Membro,Ativo,Qnt. Inicial,Qnt. Final,Saldo
1023,08/2022,BCO BRASIL S.A.,Controlador,Ações,1.432.708.542,1.432.708.542,0
1023,08/2022,BCO BRASIL S.A.,Conselho Administração,Ações,3.988,3.599,0
1023,08/2022,BB SEGURIDADE PARTICIPAÇÕES S.A.,Conselho Administração,Ações,1.280,1.280,0
1023,08/2022,BCO BRASIL S.A.,Direto,Ações,138.389,138.389,0
1023,08/2022,BB SEGURIDADE PARTICIPAÇÕES S.A.,Direto,Ações,22.180,22.180,0
1023,08/2022,BCO BRASIL S.A.,Conselho Fiscal,Ações,1.012,1.012,0
1023,08/2022,BCO BRASIL S.A.,Órgãos Técnicos ou Consultivos,Ações,15.981,15.981,0
1023,08/2022,BB SEGURIDADE PARTICIPAÇÕES S.A.,Órgãos Técnicos ou Consultivos,Ações,2.000,2.000,0
14206,08/2022,BRB BCO DE BRASILIA S.A.,Conselho Administração,Ações,19.300,19.300,0
14206,08/2022,BRB BCO DE BRASILIA S.A.,Conselho Administração,Ações,5.010,5.010,0
14206,08/2022,BRB BCO DE BRASILIA S.A.,Conselho Fiscal,Ações,220,220,0
14206,08/2022,BRB BCO DE BRASILIA S.A.,Órgãos Técnicos ou Consultivos,Ações,10,10,0
14451,08/2022,CIA ENERGETICA DE BRASILIA,Controlador,Ações,80.356.908,80.356.908,0
14451,08/2022,CIA ENERGETICA DE BRASILIA,Controlador,Ações,58.388.400,58.388.400,0
26174,08/2022,AES Brasil Operações S.A.,Controlador,Ações,1.995.532.616,1.995.532.616,0
26174,08/2022,AES Brasil Operações S.A.,Conselho Administração,Ações,0,0,0
26174,08/2022,AES Brasil Operações S.A.,Direto,Ações,0,0,0
26069,08/2022,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",Controlador,Ações,173.810.447,173.828.046,0
26069,08/2022,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",Conselho Administração,Ações,0,3.400,0
26069,08/2022,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",Direto,Ações,577.516,577.516,0
11258,08/2022,TELEC BRASILEIRAS S.A. TELEBRAS,Conselho Administração,Ações,4.970,4.970,0
11258,08/2022,TELEC BRASILEIRAS S.A. TELEBRAS,Conselho Fiscal,Ações,5,5,0
15423,08/2022,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,Controlador,Ações,16.560.840,16.560.840,0
15423,08/2022,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,Conselho Administração,Ações,541.565,541.565,0
24406,08/2022,BANCO INTER S.A.,Controlador,Ações,0,0,0
24406,08/2022,BANCO INTER S.A.,Controlador,Ações,0,0,0
24406,08/2022,BANCO INTER S.A.,Controlador,Units,0,0,0
24406,08/2022,BANCO INTER S.A.,Conselho Administração,Units,0,0,0
24406,08/2022,BANCO INTER S.A.,Conselho Administração,Ações,0,0,0
24406,08/2022,BANCO INTER S.A.,Conselho Administração,Ações,0,0,0
24406,08/2022,BANCO INTER S.A.,Direto,Units,0,0,0
24406,08/2022,BANCO INTER S.A.,Direto,Ações,0,0,0
24406,08/2022,BANCO INTER S.A.,Direto,Ações,0,0,0
24406,08/2022,BANCO INTER S.A.,Direto,Outros,0,0,0
24406,08/2022,BANCO INTER S.A.,Conselho Fiscal,Ações,0,0,0
24406,08/2022,BANCO INTER S.A.,Conselho Fiscal,Ações,0,0,0
24406,08/2022,BANCO INTER S.A.,Conselho Fiscal,Units,0,0,0
24406,08/2022,BANCO INTER S.A.,Conselho Fiscal,Units,0,0,0
22594,08/2022,STATKRAFT ENERGIAS RENOVAVEIS S.A.,Controlador,Ações,218.370.694,218.370.694,0
22594,08/2022,STATKRAFT ENERGIAS RENOVAVEIS S.A.,Controlador,Ações,134.453.234,134.453.234,0
18589,08/2022,INVESTCO S.A.,Controlador,Ações,293.607.861,293.607.861,0
18589,08/2022,INVESTCO S.A.,Controlador,Ações,186.558.673,186.558.673,0
18589,08/2022,INVESTCO S.A.,Controlador,Ações,6.684.487,6.684.487,0
18589,08/2022,INVESTCO S.A.,Controlador,Ações,3.764.056,3.764.056,0
18589,08/2022,INVESTCO S.A.,Controlador,Ações,35.947.208,35.947.208,0
18589,08/2022,INVESTCO S.A.,Conselho Administração,Ações,1,1,0
18589,08/2022,EDP - ENERGIAS DO BRASIL S.A.,Conselho Administração,Ações,150.350,150.350,0
18589,08/2022,INVESTCO S.A.,Direto,Ações,1,1,0
18589,08/2022,EDP - ENERGIAS DO BRASIL S.A.,Direto,Ações,151.570,151.570,0
20990,08/2022,AMERICANAS S.A.,Controlador,Ações,272.270.896,272.167.491,0
20990,08/2022,AMERICANAS S.A.,Conselho Administração,Ações,445,445,0
20990,08/2022,AMERICANAS S.A.,Direto,Ações,29.551.806,26.151.863,0
20990,08/2022,AMERICANAS S.A.,Direto,RecibodeSubscrição,0,0,0
20990,08/2022,AMERICANAS S.A.,Conselho Fiscal,Ações,313.335,313.335,0
20990,08/2022,AMERICANAS S.A.,Conselho Fiscal,RecibodeSubscrição,0,0,0
15253,08/2022,ENERGISA S.A.,Controlador,Units,1.013.475,1.088.475,0
15253,08/2022,ENERGISA S.A.,Controlador,Units,14.147.700,14.147.700,0
15253,08/2022,ENERGISA S.A.,Controlador,Units,3.700,3.700,0
15253,08/2022,ENERGISA S.A.,Controlador,Units,600,600,0
15253,08/2022,ENERGISA S.A.,Controlador,Units,2.000,2.000,0
15253,08/2022,ENERGISA S.A.,Controlador,Ações,396.404,400.004,0
15253,08/2022,ENERGISA S.A.,Controlador,Ações,489.046.734,489.051.634,0
15253,08/2022,ENERGISA S.A.,Controlador,Units,63.200,63.200,0
15253,08/2022,ENERGISA S.A.,Conselho Administração,Units,500.920,500.920,0
15253,08/2022,ENERGISA S.A.,Conselho Administração,Units,640.060,640.060,0
15253,08/2022,ENERGISA S.A.,Conselho Administração,Ações,187.214,187.214,0
15253,08/2022,ENERGISA S.A.,Conselho Administração,Ações,79.904,79.904,0
15253,08/2022,ENERGISA S.A.,Conselho Administração,Units,66.896,66.896,0
15253,08/2022,ENERGISA S.A.,Conselho Administração,Units,5.460,5.460,0
15253,08/2022,ENERGISA S.A.,Direto,Units,44.710,36.100,0
15253,08/2022,ENERGISA S.A.,Direto,Units,0,0,0
15253,08/2022,ENERGISA S.A.,Direto,Ações,0,0,0
15253,08/2022,ENERGISA S.A.,Direto,Ações,0,0,0
21733,08/2022,CIELO S.A.,Controlador,Ações,1.594.957.131,1.594.957.131,0
21733,08/2022,CIELO S.A.,Conselho Administração,Ações,1.339,1.339,0
21733,08/2022,BCO BRASIL S.A.,Conselho Administração,Ações,17.748,17.748,0
21733,08/2022,CIELO S.A.,Direto,Ações,2.993.402,2.417.214,0
21733,08/2022,BCO BRASIL S.A.,Direto,Ações,900,900,0
21733,08/2022,BCO BRADESCO S.A.,Direto,Ações,1.100,1.100,0
21733,08/2022,BCO BRADESCO S.A.,Direto,Ações,931,931,0
21733,08/2022,CIELO S.A.,Conselho Fiscal,Ações,18.200,18.700,0
21733,08/2022,BCO BRASIL S.A.,Conselho Fiscal,Ações,8.069,8.069,0
21733,08/2022,BCO BRADESCO S.A.,Conselho Fiscal,Ações,76.013,76.013,0
21733,08/2022,BCO BRADESCO S.A.,Conselho Fiscal,Ações,89.047,89.047,0
21733,08/2022,BCO BRASIL S.A.,Órgãos Técnicos ou Consultivos,Ações,9.628,14.355,0
21733,08/2022,BCO BRADESCO S.A.,Órgãos Técnicos ou Consultivos,Ações,1.228,1.228,0
15539,08/2022,NEOENERGIA S.A.,Controlador,Ações,1.017.029.112,1.017.029.112,0
15539,08/2022,NEOENERGIA S.A.,Conselho Administração,Ações,477.747,477.747,0
15539,08/2022,NEOENERGIA S.A.,Direto,Ações,32.521,32.521,0
15539,08/2022,NEOENERGIA S.A.,Conselho Fiscal,Ações,4.600,4.600,0
24660,08/2022,BBM Logística S.A.,Conselho Administração,Ações,11.685.287,11.685.287,0
15709,08/2022,Rumo Malha Sul S.A.,Controlador,Ações,2.648.419.568.941,2.648.419.568.941,0
15709,08/2022,Rumo Malha Sul S.A.,Controlador,Ações,4.029.290.925.966,4.029.290.925.966,0
15709,08/2022,RUMO S.A.,Conselho Administração,Ações,78.240,115.257,0
15709,08/2022,RUMO S.A.,Direto,Ações,272.740,297.056,0
15741,08/2022,WTC AMAZONAS SUITE HOTEL S.A.,Conselho Administração,Ações,7,7,0
15741,08/2022,WTC AMAZONAS SUITE HOTEL S.A.,Direto,Ações,93,93,0
17949,08/2022,MRS LOGISTICA S.A.,Conselho Administração,Debêntures,0,0,0
17949,08/2022,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,Conselho Administração,Ações,20.500,20.500,0
17949,08/2022,GERDAU S.A.,Conselho Administração,Ações,48.402,48.402,0
17949,08/2022,VALE S.A.,Conselho Administração,Ações,161.084,161.084,0
17949,08/2022,GERDAU S.A.,Direto,Ações,100,100,0
25577,08/2022,CELG DISTRIBUICAO S.A. - CELG D,Controlador,Ações,282.965.232,282.965.232,0
25577,08/2022,CELG DISTRIBUICAO S.A. - CELG D,Conselho Administração,Ações,0,0,0
25577,08/2022,CELG DISTRIBUICAO S.A. - CELG D,Direto,Ações,0,0,0
6041,08/2022,INVESTIMENTOS BEMGE S.A.,Conselho Administração,Ações,0,0,0
6041,08/2022,ITAU UNIBANCO HOLDING S.A.,Conselho Administração,Ações,7.233.902,6.879.102,0
6041,08/2022,ITAU UNIBANCO HOLDING S.A.,Conselho Administração,Ações,0,0,0
6041,08/2022,INVESTIMENTOS BEMGE S.A.,Direto,Ações,0,0,0
6041,08/2022,ITAU UNIBANCO HOLDING S.A.,Direto,Ações,336.300,336.300,0
25160,08/2022,SEQUOIA LOGÍSTICA E TRANSPORTES S.A.,Controlador,Ações,16.497.087,16.497.087,0
25160,08/2022,SEQUOIA LOGÍSTICA E TRANSPORTES S.A.,Controlador,Derivativos,2.882.400,2.882.400,0
25160,08/2022,SEQUOIA LOGÍSTICA E TRANSPORTES S.A.,Conselho Administração,Ações,136.000,136.000,0
25160,08/2022,SEQUOIA LOGÍSTICA E TRANSPORTES S.A.,Direto,Derivativos,276.000,276.000,0
25160,08/2022,SEQUOIA LOGÍSTICA E TRANSPORTES S.A.,Direto,Ações,438.648,438.648,0
25160,08/2022,SEQUOIA LOGÍSTICA E TRANSPORTES S.A.,Conselho Fiscal,Ações,476.391,476.391,0
19186,08/2022,SANEAMENTO DE GOIAS SA,Controlador,Ações,1.336.135.801,1.336.135.801,0
19186,08/2022,SANEAMENTO DE GOIAS SA,Controlador,Ações,354.992.364,354.992.364,0
19186,08/2022,SANEAMENTO DE GOIAS SA,Conselho Administração,Ações,0,0,0
19186,08/2022,SANEAMENTO DE GOIAS SA,Conselho Administração,Ações,0,0,0
19186,08/2022,SANEAMENTO DE GOIAS SA,Direto,Ações,0,0,0
19186,08/2022,SANEAMENTO DE GOIAS SA,Direto,Ações,0,0,0
19186,08/2022,SANEAMENTO DE GOIAS SA,Conselho Fiscal,Ações,0,0,0
19186,08/2022,SANEAMENTO DE GOIAS SA,Conselho Fiscal,Ações,0,0,0
16292,08/2022,BRF S.A.,Conselho Administração,Ações,4.600,4.600,0
16292,08/2022,BRF S.A.,Direto,Ações,957.116,599.213,0
16292,08/2022,BRF S.A.,Conselho Fiscal,Ações,3.414,3.416,0
16292,08/2022,BRF S.A.,Órgãos Técnicos ou Consultivos,Ações,0,0,0
20044,08/2022,CSU CARDSYSTEM S.A.,Controlador,Ações,22.661.556,22.661.556,0
20044,08/2022,CSU CARDSYSTEM S.A.,Conselho Administração,Ações,33.806,33.806,0
20044,08/2022,CSU CARDSYSTEM S.A.,Direto,Ações,6.954,11.140,0
23000,08/2022,LIGHT ENERGIA S.A.,Controlador,Ações,77.421.581,77.421.581,0
18708,08/2022,CIA PARTICIPACOES ALIANCA DA BAHIA,Controlador,Ações,2.075.901,2.075.901,0
18708,08/2022,CIA PARTICIPACOES ALIANCA DA BAHIA,Controlador,Ações,40.428,40.428,0
18708,08/2022,CIA PARTICIPACOES ALIANCA DA BAHIA,Conselho Administração,Ações,265.075,265.275,0
18708,08/2022,CIA PARTICIPACOES ALIANCA DA BAHIA,Conselho Administração,Ações,189.513,189.513,0
18708,08/2022,CIA PARTICIPACOES ALIANCA DA BAHIA,Direto,Ações,12.902,12.902,0
18708,08/2022,CIA PARTICIPACOES ALIANCA DA BAHIA,Direto,Ações,1.907,1.907,0
18708,08/2022,CIA PARTICIPACOES ALIANCA DA BAHIA,Conselho Fiscal,Ações,54,54,0
18708,08/2022,CIA PARTICIPACOES ALIANCA DA BAHIA,Conselho Fiscal,Ações,723,723,0
16551,08/2022,WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.,Conselho Administração,Ações,41,41,0
16551,08/2022,WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.,Direto,Ações,959,959,0
16527,08/2022,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,Controlador,Ações,1.125.427,1.125.427,0
16527,08/2022,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,Conselho Administração,Ações,0,0,0
16659,08/2022,PORTO SEGURO S.A.,Controlador,Ações,457.883.780,457.883.780,0
16659,08/2022,PORTO SEGURO S.A.,Conselho Administração,Ações,8.800,8.800,0
16659,08/2022,PORTO SEGURO S.A.,Direto,Ações,227.022,153.666,0
16659,08/2022,PORTO SEGURO S.A.,Conselho Fiscal,Ações,0,0,0
16659,08/2022,PORTO SEGURO S.A.,Órgãos Técnicos ou Consultivos,Ações,28.315,28.315,0
16632,08/2022,DEXXOS PARTICIPAÇÕES S.A.,Controlador,Ações,34.476.520,34.476.520,0
16632,08/2022,DEXXOS PARTICIPAÇÕES S.A.,Controlador,Ações,16.275,16.275,0
26050,08/2022,Unifique Telecomunicações S.A.,Controlador,Ações,262.014.440,262.014.440,0
26050,08/2022,Unifique Telecomunicações S.A.,Controlador,Ações,0,0,0
26050,08/2022,Unifique Telecomunicações S.A.,Conselho Administração,Ações,3.427,3.427,0
26050,08/2022,Unifique Telecomunicações S.A.,Conselho Administração,Ações,0,0,0
26050,08/2022,Unifique Telecomunicações S.A.,Direto,Ações,0,0,0
26050,08/2022,Unifique Telecomunicações S.A.,Direto,Ações,0,0,0
20443,08/2022,CIA SIDERURGICA NACIONAL,Conselho Administração,Ações,6.820,6.820,0
24813,08/2022,LOCALIZA RENT A CAR S.A.,Conselho Administração,Ações,42.429.408,42.562.410,0
24813,08/2022,LOCALIZA RENT A CAR S.A.,Direto,Ações,51.678,51.678,0
16985,08/2022,EDP - ENERGIAS DO BRASIL S.A.,Conselho Administração,Ações,151.563,151.563,0
16985,08/2022,EDP - ENERGIAS DO BRASIL S.A.,Direto,Ações,59.216,59.216,0
16993,08/2022,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,Controlador,Ações,14.704.273,14.704.274,0
16993,08/2022,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,Controlador,Ações,52.068,52.068,0
16993,08/2022,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,Conselho Administração,Ações,0,0,0
16993,08/2022,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,Conselho Administração,Ações,0,0,0
16993,08/2022,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,Direto,Ações,0,0,0
16993,08/2022,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,Direto,Ações,0,0,0
16993,08/2022,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,Conselho Fiscal,Ações,0,0,0
16993,08/2022,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,Conselho Fiscal,Ações,0,0,0
16993,08/2022,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,Órgãos Técnicos ou Consultivos,Ações,0,0,0
16993,08/2022,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,Órgãos Técnicos ou Consultivos,Ações,0,0,0
17485,08/2022,ELEKTRO REDES S.A.,Controlador,Ações,91.855.825,91.855.825,0
17485,08/2022,ELEKTRO REDES S.A.,Controlador,Ações,101.279.596,101.279.596,0
17485,08/2022,ELEKTRO REDES S.A.,Conselho Administração,Ações,0,0,0
17485,08/2022,ELEKTRO REDES S.A.,Conselho Administração,Ações,0,0,0
17485,08/2022,NEOENERGIA S.A.,Conselho Administração,Ações,30.742,30.742,0
17485,08/2022,NEOENERGIA S.A.,Conselho Fiscal,Ações,4.600,4.600,0
20800,08/2022,TEGMA GESTAO LOGISTICA S.A.,Controlador,Ações,33.936.292,33.936.292,0
20800,08/2022,TEGMA GESTAO LOGISTICA S.A.,Conselho Administração,Ações,1,1,0
20800,08/2022,TEGMA GESTAO LOGISTICA S.A.,Direto,Ações,0,0,0
20800,08/2022,TEGMA GESTAO LOGISTICA S.A.,Conselho Fiscal,Ações,100,100,0
24910,08/2022,LOCAWEB SERVIÇOS DE INTERNET S.A.,Controlador,Ações,161.186.952,160.282.752,0
24910,08/2022,LOCAWEB SERVIÇOS DE INTERNET S.A.,Controlador,OpçãodeCompra,LWSAL660,LWSAL660,0
24910,08/2022,LOCAWEB SERVIÇOS DE INTERNET S.A.,Controlador,904.200,OpçãodeCompra,OpçãodeCompra,0
24910,08/2022,LOCAWEB SERVIÇOS DE INTERNET S.A.,Controlador,LWSAL870,-1.808.400,0,0
24910,08/2022,LOCAWEB SERVIÇOS DE INTERNET S.A.,Conselho Administração,Ações,4.307.420,4.062.400,0
24910,08/2022,LOCAWEB SERVIÇOS DE INTERNET S.A.,Direto,Ações,3.610.948,3.550.948,0
24910,08/2022,LOCAWEB SERVIÇOS DE INTERNET S.A.,Conselho Fiscal,Ações,0,0,0
24872,08/2022,LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A,Controlador,Ações,140.593,140.593,0
24872,08/2022,LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A,Controlador,Ações,1.281.054,1.281.054,0
