NOME;ENDEREÇO;LONGITUDE;LATITUDE;STATUS DO NEGÓCIO;AVALIAÇÕES;TOTAL DE AVALIAÇÕES
DROGARIAS PACHECO;R. Sen. Dantas, 118 - loja D - Centro, Rio de Janeiro - RJ, 20031-202, Brasil;-43.17813989999999;-22.9087769;OPERATIONAL;3;21
DROGARIAS PACHECO;AV RIO BRANCO 109 A SS E Sloja - Centro, Rio de Janeiro - RJ, 20040-906, Brasil;-43.1781011;-22.9031077;OPERATIONAL;3.5;67
DROGARIAS PACHECO;R. Aristídes Lôbo, 244 - Rio Comprido, Rio de Janeiro - RJ, 20250-450, Brasil;-43.2091225;-22.9241037;OPERATIONAL;3.1;62
DROGARIAS PACHECO;R. Sete de Setembro, 61 - Centro, Rio de Janeiro - RJ, 20050-005, Brasil;-43.1767933;-22.9045781;OPERATIONAL;4.2;10
DROGARIAS PACHECO;R. do Matoso, 100 A - Praca da Bandeira, Rio de Janeiro - RJ, 20270-133, Brasil;-43.21296279999999;-22.9146259;OPERATIONAL;3.6;77
Drogarias Pacheco;R. Sen. Dantas, 5 - Centro, Rio de Janeiro - RJ, 20020-100, Brasil;-43.17658679999999;-22.9119644;OPERATIONAL;3.8;35
DROGARIAS PACHECO;Av. de Santa Cruz, 525 - Realengo, Rio de Janeiro - RJ, 23520-243, Brasil;-43.42904240000001;-22.8788223;OPERATIONAL;4;84
Drogarias Pacheco;Av. Pres. Vargas, 502 - Centro, Rio de Janeiro - RJ, 20071-000, Brasil;-43.18059580000001;-22.9012769;OPERATIONAL;1;1
DROGARIAS PACHECO;R. Uruguaiana, 27 - 29 - Centro, Rio de Janeiro - RJ, 20050-093, Brasil;-43.17949309999999;-22.9053678;OPERATIONAL;3.5;11
DROGARIAS PACHECO;R. Uruguai, 231 /233 - Andaraí, Rio de Janeiro - RJ, 20510-061, Brasil;-43.24415949999999;-22.9274168;OPERATIONAL;2.8;73
DROGARIAS PACHECO;R. do Catete, 300 - Catete, Rio de Janeiro - RJ, 22220-000, Brasil;-43.1780662;-22.9311582;OPERATIONAL;2.6;63
DROGARIAS PACHECO;AV JOAO RIBEIRO - 9B E 15 A - Pilares, Rio de Janeiro - RJ, 20750-092, Brasil;-43.29387190000001;-22.8810932;OPERATIONAL;3.9;79
DROGARIAS PACHECO;R. Marquês de Abrantes, 144 - Flamengo, Rio de Janeiro - RJ, 22230-060, Brasil;-43.1779404;-22.938046;OPERATIONAL;4.1;60
DROGARIAS PACHECO;Av. Monsenhor Félix, 506 - Irajá, Rio de Janeiro - RJ, 21361-132, Brasil;-43.3243213;-22.8467958;OPERATIONAL;3.5;63
DROGARIAS PACHECO;R. Riachuelo, 217 - loja C - BAIRRO DE FATIMA, Rio de Janeiro - RJ, 20230-011, Brasil;-43.1877052;-22.9150645;OPERATIONAL;3.7;70
DROGARIAS PACHECO;Rua Conde de Bonfim, 396 - loja b - Tijuca, Rio de Janeiro - RJ, 20520-054, Brasil;-43.2340505;-22.92473300000001;OPERATIONAL;3.7;33
Drogarias Pacheco;Estrada do Mendanha, lot 21 - Q-7 - Campo Grande, Rio de Janeiro - RJ, 23087-283, Brasil;-43.5584917;-22.8859351;OPERATIONAL;3.6;138
Drogarias Pacheco S.A.;Av. Ten. Rebelo, 675 - Irajá, Rio de Janeiro - RJ, 21230-075, Brasil;-43.3324835;-22.8179038;OPERATIONAL;3.7;21
DROGARIAS PACHECO;R. Maj. Ávila, 126 - loja A 132 - Tijuca, Rio de Janeiro - RJ, 20511-140, Brasil;-43.2327059;-22.9227628;OPERATIONAL;3;7
DROGARIAS PACHECO;R. Voluntários da Pátria, 357 - loja A - Botafogo, Rio de Janeiro - RJ, 22270-000, Brasil;-43.1933703;-22.9549012;OPERATIONAL;3.3;21
DROGARIAS PACHECO;R. Dr. Felíciano Sodré, 119 - 121 - Centro, São Gonçalo - RJ, 24440-440, Brasil;-43.0494275;-22.8247621;OPERATIONAL;4.3;18
Drogarias Pacheco;Av. Jorn. Roberto Marinho, 2231 - loja - Galo Branco, São Gonçalo - RJ, 24422-175, Brasil;-43.0107314;-22.8257026;OPERATIONAL;3.9;42
DROGARIAS PACHECO;R. Dr. Nilo Peçanha, 958 - loja - Estrela do Norte, São Gonçalo - RJ, 24450-000, Brasil;-43.0246796;-22.8157687;OPERATIONAL;3.7;31
DROGARIAS PACHECO;R. Francisco Portela, 78 - Loja - Patronato, São Gonçalo - RJ, 24435-005, Brasil;-43.07877619999999;-22.8334137;OPERATIONAL;3.3;50
DROGARIAS PACHECO;R. Dr. Alfredo Backer, 704 - Alcantara, São Gonçalo - RJ, 24430-380, Brasil;-43.0026617;-22.8197575;OPERATIONAL;4;59
Drogarias Pacheco;Av. José Mendonça de Campos, 1226 - loja 01 - Colubandê, São Gonçalo - RJ, 24451-001, Brasil;-43.0127815;-22.839121;OPERATIONAL;3.6;36
Drogarias Pacheco;Estr. Raul Veiga, 266 - Alcantara, São Gonçalo - RJ, 24730-180, Brasil;-42.97899799999999;-22.8235906;OPERATIONAL;3.5;18
Drogarias Pacheco Trindade;R. Justo Brito Sanches, QUADRA 43 - S/N - LOTE 17 - Trindade, São Gonçalo - RJ, 24456-435, Brasil;-43.01738659999999;-22.807383;OPERATIONAL;3;8
Drogarias Pacheco;R. Carlos Gianelli, 16 - Alcantara, São Gonçalo - RJ, 24710-465, Brasil;-43.003925;-22.821075;OPERATIONAL;5;1
DROGARIAS PACHECO;AV ALZIRA VARGAS DO - R. Afrânio Peixoto, 10 - Santa Luzia, São Gonçalo - RJ, 24721-020, Brasil;-42.97739299999999;-22.795573;OPERATIONAL;5;1
