NOME;ENDERE�O;LONGITUDE;LATITUDE;STATUS DO NEG�CIO;AVALIA��ES;TOTAL DE AVALIA��ES
Drogaria Venancio;R. da Quitanda, 89 - Centro, Rio de Janeiro - RJ, 20091-005, Brasil;-43.17738559999999;-22.9027514;OPERATIONAL;4.5;44
Drogaria Venancio;R. Buenos Aires, 165/167 - Centro, Rio de Janeiro - RJ, 20070-020, Brasil;-43.1818288;-22.9040693;OPERATIONAL;3.8;62
Drogaria Venancio;Av. Rio Branco, 124 - Centro, Rio de Janeiro - RJ, 20040-001, Brasil;-43.17796669999999;-22.9049015;OPERATIONAL;3;8
Drogaria Venancio;Av. Alm. Barroso, 63 - Centro, Rio de Janeiro - RJ, 20030-001, Brasil;-43.1759981;-22.9076655;OPERATIONAL;4.3;126
Drogaria Venancio;Rua Conde de Bonfim, 40 - Tijuca, Rio de Janeiro - RJ, 20530-002, Brasil;-43.2228364;-22.9230285;OPERATIONAL;4;72
Drogaria Venancio;R. do Ros�rio, 131 - Centro, Rio de Janeiro - RJ, 20041-002, Brasil;-43.17874070000001;-22.9034881;OPERATIONAL;3.2;5
Drogaria Venancio;Av. Embaixador Abelardo Bueno, 3050 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-040, Brasil;-43.3935906;-22.9724745;OPERATIONAL;3.6;57
Drogaria Venancio;Av. Rio Branco, 277 - Centro, Rio de Janeiro - RJ, 20040-009, Brasil;-43.17491690000001;-22.911826;OPERATIONAL;3.5;4
Drogaria Venancio;R. do Catete, 124/126 - Catete, Rio de Janeiro - RJ, 22220-000, Brasil;-43.1767806;-22.9251229;OPERATIONAL;3.4;5
Drogaria Venancio;R. Dias da Cruz, 110 - M�ier, Rio de Janeiro - RJ, 20720-012, Brasil;-43.28076179999999;-22.9021006;OPERATIONAL;4;90
Drogaria Venancio;R. Dias da Cruz, 336 - M�ier, Rio de Janeiro - RJ, 20710-010, Brasil;-43.2857832;-22.9041467;OPERATIONAL;4.4;190
Drogaria Venancio;R. Volunt�rios da P�tria, 257 - Botafogo, Rio de Janeiro - RJ, 22270-003, Brasil;-43.19033209999999;-22.9535891;OPERATIONAL;4;120
Drogaria Venancio;Largo do Machado, 11 - Catete, Rio de Janeiro - RJ, 22221-020, Brasil;-43.1782739;-22.9311748;OPERATIONAL;4.3;6
Drogaria Venancio;Pr. Saenz Pe�a, 31 - Tijuca, Rio de Janeiro - RJ, 20520-090, Brasil;-43.2318044;-22.9243381;OPERATIONAL;3;36
Drogaria Venancio;R. Gen. Roca, 836 - Tijuca, Rio de Janeiro - RJ, 20521-070, Brasil;-43.2340209;-22.9241599;OPERATIONAL;4;85
Drogaria Venancio;Av. Nossa Sra. de Copacabana, 980 - Copacabana, Rio de Janeiro - RJ, 22060-002, Brasil;-43.1904435;-22.9765599;OPERATIONAL;4.1;97
Drogaria Venancio;Avenida das Am�ricas, 500 - Bl. 03 � 120 - Barra da Tijuca, Rio de Janeiro - RJ, 22640-100, Brasil;-43.31731600000001;-23.0037376;OPERATIONAL;4;35
Drogaria Venancio;R. Dr. Fel�ciano Sodr�, 212 - Centro, S�o Gon�alo - RJ, 24440-460, Brasil;-43.047509;-22.8235544;OPERATIONAL;3.9;14
Drogaria Venancio;Av. Nilo Pe�anha, 248 - loja 252 - Centro, Duque de Caxias - RJ, 25010-144, Brasil;-43.3134236;-22.7866851;OPERATIONAL;3.8;79
Drogaria Venancio;R. Neri Pinheiro, 293 - 299 - Cidade Nova, Rio de Janeiro - RJ, 20210-020, Brasil;-43.20263899999999;-22.9119151;OPERATIONAL;4.2;32
Drogaria Venancio;Av. Maracan�, 834 - Tijuca, Rio de Janeiro - RJ, 20540-103, Brasil;-43.23567129999999;-22.9207958;OPERATIONAL;3.8;61
Drogaria Venancio;Estr. dos Bandeirantes, 316 - Taquara, Rio de Janeiro - RJ, 22710-112, Brasil;-43.3741156;-22.92594780000001;OPERATIONAL;4.3;74
Drogaria Venancio;Boulevard 28 de Setembro, 216 - Vila Isabel, Rio de Janeiro - RJ, 20551-055, Brasil;-43.2432299;-22.915173;OPERATIONAL;4;14
Drogaria Venancio;Boulevard 28 de Setembro, 304 - Vila Isabel, Rio de Janeiro - RJ, 20551-031, Brasil;-43.2461762;-22.9157102;OPERATIONAL;3.8;48
Drogaria Venancio;Estrada do Gale�o, 2039 - Ilha do Governador, Rio de Janeiro - RJ, 21931-385, Brasil;-43.2021312;-22.8052071;OPERATIONAL;4.2;6
Drogaria Venancio;Av. Nilo Pe�anha, 213 - Centro, Nova Igua�u - RJ, 26210-011, Brasil;-43.4488125;-22.758738;OPERATIONAL;4.1;61
Drogaria Venancio;R. Dr. Thibau, 47 - Centro, Nova Igua�u - RJ, 26255-160, Brasil;-43.4534518;-22.7599928;OPERATIONAL;4.5;41
Drogaria Venancio;Rod. Pres. Dutra, 13.006 - Prata, Nova Igua�u - RJ, 26010-003, Brasil;-43.4219994;-22.76153399999999;OPERATIONAL;2.7;14
Drogaria Venancio;R. da Concei��o, 79 - Niteroi - RJ, Niter�i - RJ, 24020-082, Brasil;-43.12139820000001;-22.8941081;OPERATIONAL;4.2;38
Drogaria Venancio;Av. Visconde do Rio Branco, 461 - Centro, Niter�i - RJ, 24020-003, Brasil;-43.1236735;-22.8944904;OPERATIONAL;3.7;70
Drogaria Venancio;R. Dr. Paulo C�sar, 2 - Icara�, Niter�i - RJ, 24240-000, Brasil;-43.11163379999999;-22.898937;OPERATIONAL;3.2;42
Drogaria Venancio;R. Gen. Pereira da Silva, 157 - Icara�, Niter�i - RJ, 24220-030, Brasil;-43.1112204;-22.9024978;OPERATIONAL;3.5;38
