NOME;ENDEREÇO;LONGITUDE;LATITUDE;STATUS DO NEGÓCIO;AVALIAÇÕES;TOTAL DE AVALIAÇÕES
HStern;Avenida do Contorno 6061 Store 218 / 219 - Santa Efigênia, Sensenden? departaments - MG, 30110-929, Brasil;-43.9344444;-19.9411111;OPERATIONAL;4.6;41
HStern;Av. Olegário Maciel, 1600 - Loja 82 / 83 - Santo Agostinho, Belo Horizonte - MG, 30180-111, Brasil;-43.9472457;-19.9279436;OPERATIONAL;4.3;18
HStern;Avenida Rio Branco, 128 - Centro - 7 de Setembro Rua Sete de Setembro 87 Centro - Centro, Rio de Janeiro - RJ, 20050-005, Brasil;-43.1778349;-22.9051783;OPERATIONAL;4.4;46
HStern;Rio Sul Center - Rua Lauro Müller, 116 - 301 - Botafogo, Rio de Janeiro - RJ, 22290-160, Brasil;-43.1772425;-22.9565869;OPERATIONAL;4.6;29
HStern;R. Visc. de Pirajá, 490 - Ipanema, Rio de Janeiro - RJ, 22410-002, Brasil;-43.2093549;-22.9838314;OPERATIONAL;5;14
HStern;Barra Shopping Av. das Américas, 4666 - Loj. 214 A e B - Barra da Tijuca, Rio de Janeiro - RJ, 22640-102, Brasil;-43.35812679999999;-22.9976583;OPERATIONAL;4.6;50
HStern;Shopping Leblon - 2 Piso - Lj 204 - Av. Afrânio de Melo Franco, 290 - Leblon, Rio de Janeiro - RJ, 22430-060, Brasil;-43.2164542;-22.9821746;OPERATIONAL;4.4;47
HStern;Praça Sen. Salgado Filho, 23 25 - Centro, Rio de Janeiro - RJ, 20021-340, Brasil;-43.166326;-22.91265850000001;OPERATIONAL;5;6
HStern;Avenida Brigadeiro Faria Lima 2232 Shops L02 - and - L03A - Jardim Paulistano, São Paulo - SP, 01489-900, Brasil;-46.68852460000001;-23.5776128;OPERATIONAL;4.6;39
HStern;R. Treze de Maio, 1947 - Bela Vista, São Paulo - SP, 01327-900, Brasil;-46.6432203;-23.5707613;OPERATIONAL;4.8;79
HStern;Al. Rio Negro, 111 - Lojas 232 / 233 - Alphaville Industrial, Barueri - SP, 06454-000, Brasil;-46.848129;-23.5046609;OPERATIONAL;4.1;21
HStern;Av. Iguatemi, 777 - Vila Brandina, Campinas - SP, 13092-500, Brasil;-47.0276428;-22.8926744;OPERATIONAL;4.6;108
HStern;Av. Pres. Juscelino Kubitschek, 2041 - Vila Nova Conceição, São Paulo - SP, 04543-011, Brasil;-46.69004319999999;-23.591594;OPERATIONAL;4.5;52
HStern;Av. do Batel, 1868 - Batel, Curitiba - PR, 80420-090, Brasil;-49.29115849999999;-25.4429279;OPERATIONAL;4.6;38
HStern;Avenida Roque Petroni Júnior 1089 Loja 12 and 12A - Jardim das Acacias, São Paulo - MG, 04707-000, Brasil;-45.8860282;-22.23659739999999;OPERATIONAL;4.5;100
HStern;Smas Trecho 1 6580 Store 157 - 158 - Smas Trecho 1, 6580 - Store 157 - 158 - Guará, Brasília - DF, 71219-900, Brasil;-47.9554747;-15.8337373;OPERATIONAL;4.3;79
HStern;R. Oscar Freire, 652 - Jardim Paulista, São Paulo - SP, 01426-000, Brasil;-46.6672538;-23.5645205;OPERATIONAL;4.6;42
HStern;Av. Reg. Feijó, 1739 - Lojas 102 / 103 - Tatuape, São Paulo - SP, 03342-000, Brasil;-46.5606267;-23.5611659;OPERATIONAL;4.5;324
HStern;R. Olávo Barreto Viana, 36 - 239/240 - Moinhos de Vento, Porto Alegre - RS, 90570-070, Brasil;-51.20147060000001;-30.02357649999999;OPERATIONAL;4.5;26
