NOME;ENDEREÇO;LONGITUDE;LATITUDE;STATUS DO NEGÓCIO;AVALIAÇÕES;TOTAL DE AVALIAÇÕES
Vivara;Av. do Contorno, 6061 - LUC 107, 108 e 109 - São Pedro, Belo Horizonte - MG, 30110-929, Brasil;-43.9341036;-19.9404542;OPERATIONAL;4.5;130
Vivara;Av. Olegário Maciel, 1600 - Stores OM63 and 64 - Lourdes, Belo Horizonte - MG, 30180-111, Brasil;-43.94703399999999;-19.9280878;OPERATIONAL;4.3;236
Vivara;Avenida dos Andradas, 3000 - Shop 3052 and 3053 Boulevard - Av. dos Andradas, 3000 - Shop 3052 and 3053 - Santa Efigênia, Belo Horizonte - MG, 30260-070, Brasil;-43.920589;-19.9207433;OPERATIONAL;4.4;370
Vivara;Shopping Cidade - Rua dos Tupis, 337 - Centro, Belo Horizonte - MG, 30160-041, Brasil;-43.9394783;-19.9220027;OPERATIONAL;4.6;43
Vivara;BR-356, 3049 - Loja 57 - Belvedere, Belo Horizonte - MG, 30320-900, Brasil;-43.9446318;-19.9744162;OPERATIONAL;4.5;479
Vivara;Av. Cristiano Machado, 4000 - Loja 214 - União, Belo Horizonte - MG, 31910-900, Brasil;-43.9257544;-19.8742469;OPERATIONAL;4.5;464
Vivara;Av. Presidente Carlos Luz, 3001 - Pampulha, Belo Horizonte - MG, 31250-010, Brasil;-43.9681435;-19.8899588;OPERATIONAL;4.5;281
Vivara;Avenida Cristiano Machado, 11833, Loja SB02005 - Vila Cloris, Belo Horizonte - MG, 31744-007, Brasil;-43.9475531;-19.821152;OPERATIONAL;5;7
Vivara;Av. General David Sarnoff, 5160 - 106 - Cidade Industrial, Contagem - MG, 31210-110, Brasil;-44.02162560000001;-19.94635719999999;OPERATIONAL;4.5;25
Vivara;Av. Severino Ballesteros, 850 - Loja 1071 - Ressaca, Contagem - MG, 32110-005, Brasil;-44.0385241;-19.8811387;OPERATIONAL;4.4;325
Vivara;Av. Paulo Gracindo, 15 - Morada da Colina, Uberlândia - MG, 38411-106, Brasil;-48.2772974;-18.9575459;OPERATIONAL;4.5;339
Vivara;Av. João Naves de Ávila, 1331 - Tibery, Uberlândia - MG, 38408-902, Brasil;-48.2604467;-18.9103342;OPERATIONAL;4.6;363
Vivara;Shopping Independência - Av. Presidente Itamar Franco, 3600 - São Mateus, Juiz de Fora - MG, 36025-290, Brasil;-43.3601909;-21.780679;OPERATIONAL;4.6;181
Vivara;Av. Brasil, 6345 - Mariano Procópio, Juiz de Fora - MG, 36080-060, Brasil;-43.3710568;-21.7405273;OPERATIONAL;-;-
Vivara;Rodovia Fernão Dias, Km 492, s/n - São João, Betim - MG, 32655-505, Brasil;-44.16037010000001;-19.9624009;OPERATIONAL;4.4;141
Vivara;STORE G20 STORE - Rua dos Goitacazes, 340 - G19 - CENTER, Belo Horizonte - MG, 30190-050, Brasil;-43.9403567;-19.9224147;OPERATIONAL;3.7;3
Vivara;Av. Cel. Fernando Ferreira Leite, 1540 - Jardim California, Ribeirão Preto - SP, 14026-020, Brasil;-47.8151625;-21.2118372;OPERATIONAL;4.1;118
Vivara;Av. Luiz Eduardo Toledo Prado, 900 - loja 2076 - Vila do Golfe, Ribeirão Preto - SP, 14027-250, Brasil;-47.83528320000001;-21.2251839;OPERATIONAL;4.4;63
Vivara;R. Humberto Pizo - Jardim Petropolis, Varginha - MG, 37026-280, Brasil;-45.44899799999999;-21.5720382;OPERATIONAL;-;-
Vivara;Av. Iguatemi, 777 - 1-3 - Vila Brandina, Campinas - SP, 13094-691, Brasil;-47.02700600000001;-22.8925184;OPERATIONAL;4.4;652
Vivara;Av. Santa Beatriz da Silva, 1501 - 510 - São Benedito, Uberaba - MG, 38020-433, Brasil;-47.9519202;-19.7671776;OPERATIONAL;4.5;382
Vivara;Av. Pedro Linhares Gomes, 3900 - Loja 19 - Industrial, Ipatinga - MG, 35160-291, Brasil;-42.5663084;-19.4967957;OPERATIONAL;3.8;4
Vivara;R. Silva Guerra, 382 - Centro, Patos de Minas - MG, 38700-176, Brasil;-46.52062879999999;-18.5939249;OPERATIONAL;-;-
Vivara;Avenida Roque Petroni Junior, 1089, Loja LUC 52 - Jardim das Acacias, São Paulo - SP, 04707-900, Brasil;-45.8861284;-22.2371117;OPERATIONAL;-;-
Vivara;Shopping Leblon Avenida Afrânio de Melo Franco, 290 - 310A, 310B e 310O - Leblon, Rio de Janeiro - RJ, 22430-060, Brasil;-43.2169405;-22.9821944;OPERATIONAL;4.1;75
