NOME;ENDEREÇO;LONGITUDE;LATITUDE;STATUS DO NEGÓCIO;AVALIAÇÕES;TOTAL DE AVALIAÇÕES
FARMALIFE;Norte Shopping - Av. Dom Hélder Câmara, 5474 - 3002 - Cachambi, Rio de Janeiro - RJ, 20771-004, Brasil;-43.2826337;-22.8859758;OPERATIONAL;1;2
FARMALIFE;Av. Lauro Sodré, 445 - Botafogo, Rio de Janeiro - RJ, 22290-070, Brasil;-43.1770151;-22.9571719;OPERATIONAL;2.2;6
FARMALIFE;Loja 143 e 144 - Av. das Américas, 7777 - Barra da Tijuca, Rio de Janeiro - RJ, 22793-081, Brasil;-43.3865887;-23.0015042;OPERATIONAL;2.8;9
FARMALIFE;Avenida Ayrton Senna Casa Shopping 2150 Loja I e J Bloco E - Barra da Tijuca, Rio de Janeiro - RJ, 22775-900, Brasil;-43.3622738;-22.9931895;OPERATIONAL;4.7;3
FARMALIFE;Loja 1014 - Shopping Tijuca - Av. Maracanã, 987 - Tijuca, Rio de Janeiro - RJ, 20543-970, Brasil;-43.2350557;-22.9214002;OPERATIONAL;2.8;15
FARMALIFE;Av. das Américas, 7777 - Barra da Tijuca, Rio de Janeiro - RJ, 22793-081, Brasil;-43.3866303;-23.0012718;OPERATIONAL;3.7;7
FARMALIFE;Estrada da Gávea, 899 , Shopping São Conrado Fashion Mall , 1o Piso - São Conrado, Rio de Janeiro - RJ, 22610-901, Brasil;-43.259136;-22.996077;OPERATIONAL;3.5;4
FARMALIFE;R. Marquês de São Vicente, 75 - Gávea, Rio de Janeiro - RJ, 22451-041, Brasil;-43.2288812;-22.9764293;OPERATIONAL;5;3
FARMALIFE;Av. das Américas, 4666 - 115 - Barra da Tijuca, Rio de Janeiro - RJ, 22631-004, Brasil;-43.3586328;-22.9972159;OPERATIONAL;3.9;12
FARMALIFE;Avenida Ayrton Senna, n° 2150, Bloco P, Salas 304 a 309 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-003, Brasil;-43.3653695;-22.9829389;OPERATIONAL;4;1
FARMALIFE;São Conrado, Rio de Janeiro - RJ, 22610-001, Brasil;-43.26762129999999;-22.9982507;OPERATIONAL;5;1
FARMALIFE;R. Dona Afra - Parque Santiago, Queimados - RJ, 26377-340, Brasil;-43.55764430000001;-22.7395547;OPERATIONAL;4.2;22
FARMALIFE;R. São José, 40 - Centro, Rio de Janeiro - RJ, 20010-020, Brasil;-43.309948;-22.850604;CLOSED_PERMANENTLY;-;-
FARMALIFE;Lot. Airuoca, Barra Mansa - RJ, 27320-070, Brasil;-44.1953494;-22.5095019;OPERATIONAL;-;-
FARMALIFE;Lojas B e C - Av. Ataulfo de Paiva, 285 - Leblon, Rio de Janeiro - RJ, 22440-030, Brasil;-43.2186879;-22.9838946;CLOSED_PERMANENTLY;4.3;4
Drogasmil;Av. Monsenhor Félix, 504 - Irajá, Rio de Janeiro - RJ, 21235-110, Brasil;-43.32434;-22.84692;OPERATIONAL;4.2;21
Drogasmil;Av. Nossa Sra. de Copacabana, 484 - Copacabana, Rio de Janeiro - RJ, 22050-000, Brasil;-43.1831624;-22.9679482;OPERATIONAL;3.5;13
Drogasmil;R. Mariz e Barros, 824 - Loja B - Maracanã, Rio de Janeiro - RJ, 20270-002, Brasil;-43.2217752;-22.9158845;OPERATIONAL;3;29
Drogasmil;Avenida Dom Hélder Câmara, 5474 - 1402 / 1403 - Del Castilho, Rio de Janeiro - RJ, 20777-100, Brasil;-43.2851267;-22.886159;OPERATIONAL;2.8;13
Drogasmil;Rua Conde de Bonfim, 685 - Tijuca, Rio de Janeiro - RJ, 20520-052, Brasil;-43.2402105;-22.93228449999999;OPERATIONAL;2.3;7
Drogasmil;Estr. do Pau-Ferro, 453 - Freguesia de Jacarepaguá, Rio de Janeiro - RJ, 22745-055, Brasil;-43.3431394;-22.927158;OPERATIONAL;2.7;12
Drogasmil;Av. Geremário Dantas, 444 - Pechincha, Rio de Janeiro - RJ, 22740-010, Brasil;-43.359387;-22.925001;OPERATIONAL;3.8;23
Drogasmil;R. Voluntários da Pátria, 316 - Botafogo, Rio de Janeiro - RJ, 22270-010, Brasil;-43.19274610000001;-22.9542498;OPERATIONAL;-;-
Drogasmil;R. Fonseca, 240 - LOJA 104 - D / 106 - Bangu, Rio de Janeiro - RJ, 21820-005, Brasil;-43.4672215;-22.8790661;OPERATIONAL;3.6;14
Drogasmil;Av. Rio Branco, 251 - Centro, Rio de Janeiro - RJ, 20040-009, Brasil;-43.175102;-22.91120489999999;OPERATIONAL;4;5
Drogasmil;R. Voluntários da Pátria, 229 - Botafogo, Rio de Janeiro - RJ, 22270-001, Brasil;-43.18932449999999;-22.9533364;OPERATIONAL;3.6;14
