,marca,preco
0,"Sig Sauer - P365X RomeoZero 12rd 3.1"" 9mm","699,95"
1,"Heritage - Barkeep US Flag 6rd 2"" 22 LR","179,95"
2,"Smith & Wesson - M&P Shield EZ Thumb Safety 8rd 3.675"" 9mm","499,95"
3,"CZ - Tactical Sport 2 20rd 5.28"" 9mm","1595,95"
4,"Ruger - MAX-9 Pro No Safety 12rd 3.2"" 9mm","464,95"
5,"Ruger - Wrangler Dark Earth Cerakote 4.62"" 22 LR","224,95"
6,"Glock - G48 MOS Front Rail 10rd 4.17"" 9mm","599,95"
7,"Glock - G27 Gen5 Fixed Sights 9rd 3.5"" 40 S&W","579,95"
8,"Ruger - MAX-9 Black Manual Safety 12rd  3.2"" 9mm","429,95"
9,"Bond Arms - Ranger II 2rd 4.25"" 357 Mag / 38 Spl","749,95"
10,"Bond Arms - Texas Defender 2rd 3"" 9mm","499,95"
11,"Smith & Wesson - M&P Shield Plus Thumb Safety 13rd 3.1"" 9mm","399,95"
12,"Smith & Wesson - M&P M2.0 Compact Green Laser No Safety 15rd 4"" 9mm","709,95"
13,"Springfield - Hellcat Micro-Compact OSP Manual Safety 13rd 3"" 9mm","564,95"
14,"IWI - Masada ORP Optic Mount 17rd 4.1"" 9mm","442,99"
15,"Smith & Wesson - Performance Center M&P Shield Plus Red Dot 13rd 4"" 9mm","869,95"
16,"Taurus - G3 15rd 4"" 9mm","264,95"
17,"Smith & Wesson - M&P M2.0 Subcompact Thumb Safety 12rd 3.6"" 9mm","519,95"
18,"Canik - TP9 Elite Combat 18rd 4.75"" 9mm","699,99"
19,"Smith & Wesson - M&P Shield Plus No Safety 13rd 3.1"" 9mm","399,95"
20,"Walther - PDP Full Size Optic Ready 18rd 5"" 9mm",649
21,"Walther - PDP Compact 15rd 5"" 9mm",649
22,"Smith & Wesson - M&P Shield EZ No Thumb Safety 8rd 3.675"" 9mm","499,95"
23,"Browning - Buck Mark Plus Vision Americana SP 10rd 5.875"" 22 LR","704,95"
24,"Smith & Wesson - Performance Center M&P Shield EZ Ported Barrel Thumb Safety 8rd 3.83"" 9mm","649,95"
25,"Kimber - Micro 9 Stainless Rosewood Laser Grip 7rd 3.15"" 9mm","799,95"
26,"Browning - Buck Mark Micro Bull UFX SR 10rd 4.25"" 22 LR","419,95"
27,"North American Arms - Wasp Vent Barrel 1.625"" 22 Mag","299,95"
28,"Browning - Buck Mark Plus Practical URX Red Dot 5.5"" 22 LR","529,95"
29,"Smith & Wesson - M&P M2.0 Subcompact No Safety 12rd 3.6"" 9mm","569,95"
30,"Sig Sauer - P320 AXG Pro 17rd 4.7"" 9mm","1199,99"
31,"Taurus - GX4 Micro-Compact 11rd 3"" 9mm","299,95"
32,"Walther - PDP Full Size Carry Optic Ready 18rd 4"" 9mm",649
33,"Ruger - LCP II Lite Rack 10rd 2.75"" 22 LR","374,95"
34,"Smith & Wesson - M&P15-22 25rd 8"" 22LR","459,95"
35,"Sig Sauer - P365 SAS 10rd 3.1"" 9mm","599,99"
36,"Sig Sauer - P365 XL RomeoZero 12rd 3.7"" 9mm","699,95"
37,"Heritage - Rough Rider Adjustable Sights 6rd 16"" 22 LR","209,95"
38,"Glock - G43 Gen3 Fixed Sights 6rd 3.39"" 9mm","519,95"
39,"Canik - TP9SFx Blackout 21rd 5.2"" 9mm","479,95"
40,"Springfield - Hellcat Micro-Compact Black 13rd 3"" 9mm","534,95"
41,"Ruger - Ruger-57 Black 20rd 4.94"" 5.7x28mm","684,95"
42,"Ruger - LCP II Lite Rack 10rd 2.75"" 22 LR","339,95"
43,"Ruger - EC9S FDE/Black 7rd 3.12"" 9mm","299,95"
44,"CZ - Shadow 2 DA/SA Orange Grips 17rd 4.89"" 9mm","2118,95"
45,"Taurus - TX22 16rd 4"" 22 LR","309,95"
46,"Sig Sauer - P365 XL X-Series X-Ray 3 Manual Safety 12rd 3.7"" 9mm","599,99"
47,"Ruger - LCP II 7rd 2.75"" 380 ACP","359,95"
48,"KelTec - CP33 33rd 5.5"" 22 LR","499,95"
49,"SCCY - CPX1 with Red Dot Black/Stainless 10rd 3"" 9mm","349,95"
50,"Browning - Buck Mark Plus Vision Blue UFX MB FO 10rd 5.78"" 22 LR","704,95"
51,"Browning - Buck Mark Camper UFX 10rd 5.5"" 22 LR","399,95"
52,"CZ - P-10 S 12rd 3.5"" 9mm","594,95"
53,"Walther - CCP M2+ Tungsten 8rd 3.54"" 9mm","439,95"
54,"Kimber - Micro 9 Rapide Scorpius 7rd 3.15"" 9mm","899,95"
55,"Heritage - Rough Rider Dead Man's Hand 6rd 6.5"" 22 LR","139,95"
56,"Sig Sauer - M400 Tread Black 30rd 11.5"" 5.56x45mm","999,99"
57,"Mossberg - MC2sc Subcompact OR Tritium Night Sights 3.4"" 9mm","514,95"
58,"Taurus - G3C 10rd 3.26"" 9mm","264,95"
59,"Taurus - G3 15rd 4"" 9mm","264,95"
60,"Heritage - Rough Rider Dead Man's Hand 6rd 4.75"" 22 LR","139,95"
61,"Ruger - Security-9 Turquoise Grip 15rd 4"" 9mm","399,95"
62,"Ruger - Ruger-57 Pro 20rd 4.94"" 5.7x28mm","684,95"
63,"Heritage - Barkeep Gray Pearl 6rd 3.6"" 22 LR","189,95"
64,"KelTec - P50 50rd 9.6"" 5.7x28mm","1099,95"
65,"Glock - G23 Gen5 13rd 4"" 40 S&W","664,95"
66,"Mossberg - MC2sc Subcompact OR Safety 14rd 3.4"" 9mm","429,95"
67,"Canik - TP9SF Elite 15rd 4.19"" 9mm","379,95"
68,"Mossberg - MC2sc Subcompact OR Cross-Bolt Safety 3.4"" 14rd 9mm","429,95"
69,"Glock - 22 Gen 5 15rd 4.5"" 40S&W","664,95"
70,"Ruger - LC9S HiViz Sights 7rd 3.12"" 9mm","439,95"
71,"Taurus - G2C Gray 12rd 3.26"" 9mm","234,95"
72,"Browning - Buck Mark Camper 10rd 5.5"" 22 LR","399,95"
73,"Glock - G20 SF Fixed Sights 15rd 4.6"" 10mm","584,95"
74,"Heritage - Rough Rider 6rd 3.5"" 22 LR / 22 Mag","189,95"
75,"Heritage - Rough Rider 6rd 6.5"" 22 LR / 22 Mag","169,95"
76,"Kimber - 1911 Custom II Two-Tone 7rd 5"" 45 ACP","874,95"
77,"Ruger - GP100 6rd 6"" 357 Mag","829,95"
78,"Ruger - SR22 10rd 3.5"" 22 LR","469,95"
79,"Taurus - PT22 DAO 8rd 2.33"" 22 LR","234,95"
80,"Charter Arms - Off Duty 5rd 2"" 38 Spl","339,95"
81,"Charter Arms - Chic Lady 5rd 2"" 38 Spl","389,95"
