data,marca,preco
2022-11-09,Chevrolet S10,"5.539,80"
2022-11-09,Mitsubishi L200,"5.869,80"
2022-11-09,Mitsubishi L200,"6.369,90"
2022-11-09,Chevrolet Cruze,"4.069,80"
2022-11-09,Fiat Cronos,"2.129,70"
2022-11-09,Citroën C3,"1.859,70"
2022-11-09,Peugeot 208,"2.039,70"
2022-11-09,Citroën C4,"2.519,70"
2022-11-09,Hyundai HB20,"2.469,90"
2022-11-09,Peugeot 2008,"2.389,80"
2022-11-09,Renault Kwid,"1.719,90"
2022-11-09,Hyundai HB20,"2.099,70"
2022-11-09,Jeep Renegade,"2.989,80"
2022-11-09,Fiat Toro,"3.799,80"
2022-11-09,Fiat Mobi,"1.559,70"
2022-11-09,Renault Kwid,"1.559,70"
2022-11-09,Hyundai HB20,"2.339,70"
2022-11-09,Jeep Commander,"5.269,80"
2022-11-09,Citroën C4,"2.419,80"
2022-11-09,Jeep Commander,"6.569,70"
2022-11-09,Fiat Pulse,"2.619,90"
2022-11-09,Volvo XC,"10.639,80"
2022-11-09,Volkswagen Nivus,"2.959,80"
2022-11-09,BYD TAN,"13.969,80"
2022-11-09,Jeep Renegade,"3.039,90"
2022-11-09,Jeep Renegade,"3.619,80"
2022-11-09,Jeep Compass,"5.109,90"
2022-11-09,Citroën C4,"3.219,90"
2022-11-09,Nissan Kicks,"2.969,70"
2022-11-09,Fiat Pulse,"2.849,70"
2022-11-09,Hyundai HB20,"2.839,80"
2022-11-09,Fiat Cronos,"2.299,80"
2022-11-09,Jeep Compass,"4.119,90"
2022-11-09,Fiat Toro,"5.069,70"
2022-11-09,Nissan Kicks,"3.529,80"
2022-11-09,Hyundai HB20,"1.949,70"
2022-11-09,Chevrolet Spin,"2.769,90"
2022-11-09,Nissan Kicks,"3.169,80"
2022-11-09,Fiat Argo,"1.819,80"
2022-11-09,Chevrolet Onix,"1.949,70"
2022-11-09,Peugeot 208,"2.439,90"
2022-11-09,Chevrolet Onix,"2.399,70"
2022-11-09,Fiat Strada,"2.419,80"
2022-11-09,Volkswagen Gol,"1.739,70"
2022-11-09,Chevrolet Tracker,"3.339,90"
2022-11-09,Renault Kwid,"1.669,80"
