Mês;Hering: (Brasil);Arezzo: (Brasil);Track & Field: (Brasil);Farm: (Brasil);Animale: (Brasil)
2015-01;28;21;3;41;9
2015-02;29;24;3;36;8
2015-03;30;29;3;37;9
2015-04;28;28;3;40;9
2015-05;40;28;2;42;9
2015-06;37;27;2;45;10
2015-07;33;24;3;45;9
2015-08;29;27;3;40;8
2015-09;31;26;3;40;9
2015-10;29;26;3;38;9
2015-11;36;31;3;37;10
2015-12;44;31;3;48;10
2016-01;23;25;3;48;9
2016-02;24;24;3;38;8
2016-03;25;26;2;38;8
2016-04;26;25;3;36;8
2016-05;32;29;3;36;9
2016-06;33;30;2;38;10
2016-07;27;27;2;39;9
2016-08;27;27;3;33;9
2016-09;26;30;3;35;8
2016-10;27;28;3;34;9
2016-11;30;33;3;43;11
2016-12;37;34;5;44;9
2017-01;25;26;5;40;9
2017-02;21;24;6;32;8
2017-03;23;27;5;32;9
2017-04;26;29;5;32;9
2017-05;29;30;5;31;10
2017-06;30;29;5;34;10
2017-07;28;30;6;31;10
2017-08;25;30;6;29;10
2017-09;25;31;6;27;9
2017-10;24;29;6;30;9
2017-11;29;35;7;34;10
2017-12;34;36;6;38;13
2018-01;28;27;5;35;9
2018-02;24;26;6;28;8
2018-03;24;26;5;28;8
2018-04;25;28;5;25;8
2018-05;28;31;6;28;9
2018-06;29;29;5;29;10
2018-07;23;26;7;32;9
2018-08;25;26;7;29;8
2018-09;22;26;6;30;8
2018-10;26;25;5;30;8
2018-11;29;32;8;40;9
2018-12;44;35;8;44;12
2019-01;27;27;6;39;8
2019-02;26;25;4;30;7
2019-03;23;26;4;31;8
2019-04;25;26;6;28;9
2019-05;28;27;7;31;9
2019-06;29;30;6;35;10
2019-07;31;29;9;33;9
2019-08;27;26;7;32;8
2019-09;28;27;7;39;7
2019-10;25;28;7;36;7
2019-11;35;33;8;42;9
2019-12;46;35;7;47;9
2020-01;31;25;7;44;8
2020-02;30;24;8;34;7
2020-03;23;17;5;35;6
2020-04;26;21;4;40;6
2020-05;47;28;6;42;8
2020-06;41;31;6;38;8
2020-07;42;30;6;39;8
2020-08;42;26;8;39;8
2020-09;34;26;6;41;7
2020-10;33;29;7;38;7
2020-11;45;35;7;45;9
2020-12;51;40;9;48;9
2021-01;31;28;7;40;8
2021-02;30;26;7;40;7
2021-03;29;21;6;36;6
2021-04;40;24;6;37;7
2021-05;37;29;6;37;8
2021-06;34;28;7;42;8
2021-07;37;32;7;40;8
2021-08;31;27;8;41;7
2021-09;25;29;7;49;8
2021-10;25;28;7;52;8
2021-11;32;40;8;60;10
2021-12;46;46;10;70;10
2022-01;31;37;8;68;8
2022-02;30;36;10;57;7
2022-03;32;34;9;51;8
2022-04;33;37;8;50;8
2022-05;40;41;9;48;10
2022-06;35;41;8;47;9
2022-07;32;43;9;53;8
2022-08;33;38;10;54;8
2022-09;28;35;9;53;7
2022-10;26;33;8;51;6
2022-11;38;44;11;80;8
2022-12;47;45;12;100;10
2023-01;31;37;10;83;7
