Mês;Mercado Livre: (Brasil);Magazine Luiza: (Brasil);Americanas: (Brasil);Casas Bahia: (Brasil);Ponto: (Brasil)
2015-01;66;23;47;38;21
2015-02;62;18;39;33;16
2015-03;66;19;44;31;17
2015-04;65;18;38;30;16
2015-05;72;20;41;32;16
2015-06;69;16;38;28;15
2015-07;74;18;43;32;16
2015-08;74;17;41;31;15
2015-09;72;19;46;32;15
2015-10;73;17;44;30;14
2015-11;73;26;65;44;20
2015-12;77;20;54;35;16
2016-01;66;19;37;27;12
2016-02;68;14;32;26;10
2016-03;64;13;35;26;10
2016-04;63;12;29;25;9
2016-05;70;13;31;24;9
2016-06;68;11;30;21;9
2016-07;72;13;31;23;8
2016-08;65;12;32;22;8
2016-09;72;13;32;22;8
2016-10;68;12;35;24;8
2016-11;74;19;53;36;12
2016-12;76;14;41;25;9
2017-01;74;18;34;24;9
2017-02;73;14;29;21;7
2017-03;79;15;30;23;8
2017-04;71;13;29;22;8
2017-05;77;14;29;22;8
2017-06;82;14;28;21;8
2017-07;84;14;29;22;8
2017-08;89;16;33;23;8
2017-09;92;17;30;22;8
2017-10;90;17;32;23;7
2017-11;98;28;53;36;12
2017-12;94;19;39;24;7
2018-01;99;26;34;25;8
2018-02;94;17;29;22;7
2018-03;88;18;32;22;7
2018-04;82;17;27;21;6
2018-05;76;19;27;21;6
2018-06;76;17;27;21;6
2018-07;75;17;26;21;6
2018-08;74;18;29;21;6
2018-09;70;19;26;21;6
2018-10;62;17;26;21;6
2018-11;71;29;43;33;11
2018-12;76;21;32;25;7
2019-01;75;25;28;23;7
2019-02;67;17;24;20;5
2019-03;66;18;25;20;5
2019-04;64;18;25;18;5
2019-05;68;20;25;19;5
2019-06;65;18;23;19;5
2019-07;72;21;25;20;5
2019-08;76;20;28;19;4
2019-09;68;21;26;19;5
2019-10;70;20;26;20;4
2019-11;76;33;45;34;8
2019-12;72;23;38;24;6
2020-01;73;26;28;23;5
2020-02;69;18;24;20;5
2020-03;64;20;26;21;5
2020-04;76;27;41;32;6
2020-05;95;31;43;38;7
2020-06;97;29;39;35;7
2020-07;100;32;33;32;7
2020-08;89;26;32;28;6
2020-09;83;25;25;23;5
2020-10;75;22;25;23;5
2020-11;75;30;34;33;7
2020-12;79;22;28;22;5
2021-01;72;23;25;19;4
2021-02;66;19;22;19;3
2021-03;64;19;26;18;3
2021-04;64;19;25;19;4
2021-05;63;19;21;18;4
2021-06;62;19;21;17;3
2021-07;63;21;21;16;3
2021-08;58;17;19;15;3
2021-09;60;17;17;15;3
2021-10;59;17;19;14;2
2021-11;61;22;27;21;4
2021-12;64;17;24;15;3
2022-01;64;21;23;18;3
2022-02;63;18;24;16;3
2022-03;61;18;20;16;3
2022-04;57;15;21;15;2
2022-05;58;16;17;15;2
2022-06;60;16;16;14;2
2022-07;55;16;15;14;2
2022-08;53;15;15;13;2
2022-09;52;13;14;13;2
2022-10;53;13;13;12;2
2022-11;54;20;20;19;2
2022-12;55;17;18;15;2
2023-01;53;19;16;16;2
